[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo2.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo1.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo1.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo4.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff1_photo4.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff4_photo2.jpg                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff4_photo2.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff4_03_new.png                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff4_03_new.png                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff2_photo1.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff2_photo1.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff4_photo3.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff4_photo3.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff5_photo2.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff5_photo2.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff6_03_new.png                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff6_03_new.png                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff5_photo1.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff5_photo1.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff5_03_new.png                             | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff5_03_new.png                             | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff7_03_new.png                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff7_03_new.png                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff6_photo1.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff6_photo1.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff7_photo1.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff7_photo1.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff6_photo2.jpg                             | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff6_photo2.jpg                             | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo3.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo3.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo2.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo2.jpg                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_03_new.png                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_03_new.png                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo1.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo1.jpg                             | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff9_03_new.png                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff9_03_new.png                             | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo4.jpg                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://porcelain.work/hp01/wp-content/uploads/2019/08/staff8_photo4.jpg                             | ✓ | ⏱: 0.01s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260817/fuchino-porcelain-raw-material-ltd-4f2f71074ebf.json
