[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=India                                                 | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/company?country=India                                                 | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/e/news/Calendar/20009.html                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Calendar/20009.html                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/e/news/Buy/20002.html                                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Buy/20002.html                                                         | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/e/news/Analysis/20015.html                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Analysis/20015.html                                                    | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/e/company/company/20012.html                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/e/company/company/20012.html                                                  | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/e/news/News/20007.html                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/News/20007.html                                                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/e/news/PriceSheet/20003.html                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/PriceSheet/20003.html                                                  | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/e/news/Interview/20011.html                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Interview/20011.html                                                   | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/e/news/Conference/20005.html                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/e/news/Conference/20005.html                                                  | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refwin.com/news/Emagazine                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/news/Emagazine                                                                | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/news/Dictionary                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/news/Dictionary                                                               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/e/news/Statistics/20010.html                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Statistics/20010.html                                                  | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.refwin.com/about/aboutus                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/aboutus                                                                 | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/partners                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/partners                                                                | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/member                                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/member                                                                  | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/site                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/site                                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/about/faq                                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/faq                                                                     | ✓ | ⏱: 0.01s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/posco-future-m-co-ltd-former-posco-chemical-co-ltd-20860bc29094.json
