[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-4/                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-2/                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-2/                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2021-2024/                     | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2021-2024/                     | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-8/                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-8/                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-7/                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-7/                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-6/                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-6/                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-5/                        | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-5/                        | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.refrasil.cz/english/contacts/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/contacts/                                                            | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/refrasil_qms_en-2/                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/refrasil_qms_en-2/                           | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/contacts/contact-form/                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/contacts/contact-form/                                               | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-page-0001/                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/about-us/quality-system/certifikat-en-2024-page-0001/                | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/downloads/movie-about-company/                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/downloads/movie-about-company/                                       | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/contacts/persons-2/                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/contacts/persons-2/                                                  | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refrasil.cz/english/contacts/map/                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refrasil.cz/english/contacts/map/                                                        | ✓ | ⏱: 0.01s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://dodavatele.epoptavka.cz/1448027-refrasil-sro/nabidka/590595-samotove-vyrobky-tvarove         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://dodavatele.epoptavka.cz/1448027-refrasil-sro/nabidka/590595-samotove-vyrobky-tvarove         | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://markinton.com/trademark/refrasil-71509111                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://markinton.com/trademark/refrasil-71509111                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.aihitdata.com/company/0121B2A2/refrasil/overview                                         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.aihitdata.com/company/0121B2A2/refrasil/overview                                         | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://en.firmy.cz/company/195117-refrasil-trinec-konska.html                                       | ✓ | ⏱: 6.66s 
[SCRAPE].. ◆ https://en.firmy.cz/company/195117-refrasil-trinec-konska.html                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://en.firmy.cz/company/195117-refrasil-trinec-konska.html                                       | ✓ | ⏱: 8.69s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/refrasil-144663494d54.json
