[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us                                                    | ✓ | ⏱: 4.06s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us/privacy-policy                                     | ✓ | ⏱: 2.63s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us/privacy-policy                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us/privacy-policy                                     | ✓ | ⏱: 4.08s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/ueber-uns2                                                     | ✓ | ⏱: 1.09s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/ueber-uns2                                                     | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.refraconsult.de/index.php/ueber-uns2                                                     | ✓ | ⏱: 1.10s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us/imprint                                                | ✓ | ⏱: 2.39s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us/imprint                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us/imprint                                                | ✓ | ⏱: 2.41s 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us/privacy-policy                                         | ✓ | ⏱: 2.41s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us/privacy-policy                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us/privacy-policy                                         | ✓ | ⏱: 2.43s 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us/contact?rCH=-2                                         | ✓ | ⏱: 2.61s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us/contact?rCH=-2                                         | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us/contact?rCH=-2                                         | ✓ | ⏱: 2.62s 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us/contact?rCH=2                                          | ✓ | ⏱: 2.65s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us/contact?rCH=2                                          | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us/contact?rCH=2                                          | ✓ | ⏱: 2.67s 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us/references                                             | ✓ | ⏱: 0.68s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us/references                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us/references                                             | ✓ | ⏱: 0.69s 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us?rCH=-2                                                 | ✓ | ⏱: 1.17s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us?rCH=-2                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us?rCH=-2                                                 | ✓ | ⏱: 1.18s 
[FETCH]... ↓ https://refraconsult.de/index.php/en/about-us?rCH=2                                                  | ✓ | ⏱: 1.67s 
[SCRAPE].. ◆ https://refraconsult.de/index.php/en/about-us?rCH=2                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://refraconsult.de/index.php/en/about-us?rCH=2                                                  | ✓ | ⏱: 1.68s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us/contact                                            | ✓ | ⏱: 2.53s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us/contact                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us/contact                                            | ✓ | ⏱: 2.55s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us/imprint                                            | ✓ | ⏱: 2.08s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us/imprint                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us/imprint                                            | ✓ | ⏱: 2.09s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us/privacy-policy?rCH=-2                              | ✓ | ⏱: 1.57s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us/privacy-policy?rCH=-2                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us/privacy-policy?rCH=-2                              | ✓ | ⏱: 1.59s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us/privacy-policy?rCH=2                               | ✓ | ⏱: 1.25s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us/privacy-policy?rCH=2                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us/privacy-policy?rCH=2                               | ✓ | ⏱: 1.27s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us/references                                         | ✓ | ⏱: 0.69s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us/references                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us/references                                         | ✓ | ⏱: 0.70s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us?rCH=2                                              | ✓ | ⏱: 1.19s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us?rCH=2                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us?rCH=2                                              | ✓ | ⏱: 1.20s 
[FETCH]... ↓ https://www.refraconsult.de/index.php/en/about-us?rCH=-2                                             | ✓ | ⏱: 1.65s 
[SCRAPE].. ◆ https://www.refraconsult.de/index.php/en/about-us?rCH=-2                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refraconsult.de/index.php/en/about-us?rCH=-2                                             | ✓ | ⏱: 1.66s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/refraconsult-gmbh-d557f5d82428.json
