[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/factory/                                                              | ✓ | ⏱: 0.74s 
[FETCH]... ↓ https://www.vinita.co.jp/about/hayawakari/                                                           | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.vinita.co.jp/about/hayawakari/                                                           | ✓ | ⏱: 0.02s 
[FETCH]... ↓ https://www.vinita.co.jp/assets/images/nav_about_img_01.jpg                                          | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.vinita.co.jp/assets/images/nav_about_img_01.jpg                                          | ✓ | ⏱: 0.00s 
[FETCH]... ↓ https://www.vinita.co.jp/contact/                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/contact/                                                                    | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.vinita.co.jp/news/                                                                       | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.vinita.co.jp/news/                                                                       | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.vinita.co.jp/about/factory/new_factory/                                                  | ✓ | ⏱: 1.50s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/factory/new_factory/                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.vinita.co.jp/about/factory/new_factory/                                                  | ✓ | ⏱: 1.53s 
[FETCH]... ↓ https://www.vinita.co.jp/about/message_philosophy/                                                   | ✓ | ⏱: 0.83s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/message_philosophy/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/about/message_philosophy/                                                   | ✓ | ⏱: 0.85s 
[FETCH]... ↓ https://www.vinita.co.jp/about/history/                                                              | ✓ | ⏱: 0.91s 
[SCRAPE].. ◆ https://www.vinita.co.jp/about/history/                                                              | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.vinita.co.jp/about/history/                                                              | ✓ | ⏱: 0.94s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/movie20260611/                                                  | ✓ | ⏱: 1.21s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/movie20260611/                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/movie20260611/                                                  | ✓ | ⏱: 1.23s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/news20260710/                                                   | ✓ | ⏱: 0.90s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/news20260710/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/news20260710/                                                   | ✓ | ⏱: 0.92s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/news20260408/                                                   | ✓ | ⏱: 1.23s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/news20260408/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/news20260408/                                                   | ✓ | ⏱: 1.25s 
[FETCH]... ↓ https://www.vinita.co.jp/news/detail/news20260730/                                                   | ✓ | ⏱: 0.73s 
[SCRAPE].. ◆ https://www.vinita.co.jp/news/detail/news20260730/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.vinita.co.jp/news/detail/news20260730/                                                   | ✓ | ⏱: 0.75s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/company-156edf500e-21f20545398a.json
