[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://asahial.co.jp/news/企業版ふるさと納税について-2/                                                          | ✓ | ⏱: 1.84s 
[SCRAPE].. ◆ https://asahial.co.jp/news/企業版ふるさと納税について-2/                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/企業版ふるさと納税について-2/                                                          | ✓ | ⏱: 1.86s 
[FETCH]... ↓ https://asahial.co.jp/news/企業版ふるさと納税について/                                                            | ✓ | ⏱: 1.35s 
[SCRAPE].. ◆ https://asahial.co.jp/news/企業版ふるさと納税について/                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/企業版ふるさと納税について/                                                            | ✓ | ⏱: 1.38s 
[FETCH]... ↓ https://asahial.co.jp/news/elementor-hf/フッター前/                                                       | ✓ | ⏱: 2.11s 
[SCRAPE].. ◆ https://asahial.co.jp/news/elementor-hf/フッター前/                                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/elementor-hf/フッター前/                                                       | ✓ | ⏱: 2.13s 
[FETCH]... ↓ https://asahial.co.jp/news/elementor-hf/ヘッダー（下層）/                                                    | ✓ | ⏱: 3.06s 
[SCRAPE].. ◆ https://asahial.co.jp/news/elementor-hf/ヘッダー（下層）/                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/elementor-hf/ヘッダー（下層）/                                                    | ✓ | ⏱: 3.08s 
[FETCH]... ↓ https://rocketreach.co/zhao-ri-aruminiumuzhu-shi...i-aluminium-co-ltd-email-format_b4357ff8c1f18440  | ✓ | ⏱: 1.17s 
[SCRAPE].. ◆ https://rocketreach.co/zhao-ri-aruminiumuzhu-shi...i-aluminium-co-ltd-email-format_b4357ff8c1f18440  | ✓ | ⏱: 0.00s 
[ERROR]... × https://rocketreach.co/...format_b4357ff8c1f18440  | Error: Blocked by anti-bot protection: Cloudflare JS challenge 
[COMPLETE] ● https://rocketreach.co/zhao-ri-aruminiumuzhu-shi...i-aluminium-co-ltd-email-format_b4357ff8c1f18440  | ✗ | ⏱: 1.18s 
[FETCH]... ↓ https://asahial.co.jp/news/elementor-hf/ヘッダー（top）/                                                   | ✓ | ⏱: 5.69s 
[SCRAPE].. ◆ https://asahial.co.jp/news/elementor-hf/ヘッダー（top）/                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/news/elementor-hf/ヘッダー（top）/                                                   | ✓ | ⏱: 5.71s 
[FETCH]... ↓ https://asahial.co.jp/recruit/                                                                       | ✓ | ⏱: 5.75s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/                                                                       | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://asahial.co.jp/recruit/                                                                       | ✓ | ⏱: 5.78s 
[FETCH]... ↓ https://www.iwakuni-company.jp/company_info/朝日アルミニウム株式会社/                                            | ✓ | ⏱: 4.38s 
[SCRAPE].. ◆ https://www.iwakuni-company.jp/company_info/朝日アルミニウム株式会社/                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.iwakuni-company.jp/company_info/朝日アルミニウム株式会社/                                            | ✓ | ⏱: 5.54s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/business/                                                        | ✓ | ⏱: 6.80s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/business/                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/business/                                                        | ✓ | ⏱: 6.83s 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/merit/                                                           | ✓ | ⏱: 6.82s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/merit/                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/merit/                                                           | ✓ | ⏱: 6.85s 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/                                                                 | ✓ | ⏱: 7.04s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/                                                                 | ✓ | ⏱: 7.06s 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/feature/                                                         | ✓ | ⏱: 6.87s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/feature/                                                         | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/feature/                                                         | ✓ | ⏱: 6.90s 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/message/                                                         | ✓ | ⏱: 2.07s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/message/                                                         | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/message/                                                         | ✓ | ⏱: 2.11s 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/news                                                             | ✓ | ⏱: 2.40s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/news                                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/news                                                             | ✓ | ⏱: 2.42s 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/weakness/                                                        | ✓ | ⏱: 3.83s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/weakness/                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/weakness/                                                        | ✓ | ⏱: 3.86s 
[FETCH]... ↓ https://asahial.co.jp/recruit/about/seeking                                                          | ✓ | ⏱: 3.91s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/about/seeking                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/about/seeking                                                          | ✓ | ⏱: 3.93s 
[FETCH]... ↓ https://asahial.co.jp/recruit/people-post/fujioka/                                                   | ✓ | ⏱: 2.49s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/people-post/fujioka/                                                   | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://asahial.co.jp/recruit/people-post/fujioka/                                                   | ✓ | ⏱: 2.51s 
[FETCH]... ↓ https://asahial.co.jp/recruit/people-post/kishimoto/                                                 | ✓ | ⏱: 2.45s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/people-post/kishimoto/                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/people-post/kishimoto/                                                 | ✓ | ⏱: 2.47s 
[FETCH]... ↓ https://asahial.co.jp/recruit/people-post/takami/                                                    | ✓ | ⏱: 2.20s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/people-post/takami/                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/people-post/takami/                                                    | ✓ | ⏱: 2.23s 
[FETCH]... ↓ https://asahial.co.jp/recruit/people/                                                                | ✓ | ⏱: 2.13s 
[SCRAPE].. ◆ https://asahial.co.jp/recruit/people/                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://asahial.co.jp/recruit/people/                                                                | ✓ | ⏱: 2.15s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/company-1bfcba97ef-25aa143245e0.json
