[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=China                                                 | ✓ | ⏱: 0.61s 
[SCRAPE].. ◆ https://www.refwin.com/company/company?country=China                                                 | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.refwin.com/company/company?country=China                                                 | ✓ | ⏱: 0.64s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=UK                                                    | ✓ | ⏱: 0.57s 
[SCRAPE].. ◆ https://www.refwin.com/company/company?country=UK                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/company/company?country=UK                                                    | ✓ | ⏱: 0.60s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=India                                                 | ✓ | ⏱: 0.53s 
[SCRAPE].. ◆ https://www.refwin.com/company/company?country=India                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/company/company?country=India                                                 | ✓ | ⏱: 0.55s 
[FETCH]... ↓ https://www.refwin.com/company/company?country=USA                                                   | ✓ | ⏱: 0.54s 
[SCRAPE].. ◆ https://www.refwin.com/company/company?country=USA                                                   | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/company?country=USA                                                   | ✓ | ⏱: 0.57s 
[FETCH]... ↓ https://www.refwin.com/company/company?isShowCategory=true                                           | ✓ | ⏱: 0.63s 
[SCRAPE].. ◆ https://www.refwin.com/company/company?isShowCategory=true                                           | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/company/company?isShowCategory=true                                           | ✓ | ⏱: 0.65s 
[FETCH]... ↓ https://www.refwin.com/e/news/Analysis/20015.html                                                    | ✓ | ⏱: 0.45s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/Analysis/20015.html                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Analysis/20015.html                                                    | ✓ | ⏱: 0.47s 
[FETCH]... ↓ https://www.refwin.com/e/news/Calendar/20009.html                                                    | ✓ | ⏱: 0.30s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/Calendar/20009.html                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Calendar/20009.html                                                    | ✓ | ⏱: 0.32s 
[FETCH]... ↓ https://www.refwin.com/e/news/Buy/20002.html                                                         | ✓ | ⏱: 0.36s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/Buy/20002.html                                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Buy/20002.html                                                         | ✓ | ⏱: 0.38s 
[FETCH]... ↓ https://www.refwin.com/e/company/company/20012.html                                                  | ✓ | ⏱: 0.79s 
[SCRAPE].. ◆ https://www.refwin.com/e/company/company/20012.html                                                  | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/e/company/company/20012.html                                                  | ✓ | ⏱: 0.82s 
[FETCH]... ↓ https://www.refwin.com/e/news/Interview/20011.html                                                   | ✓ | ⏱: 0.30s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/Interview/20011.html                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Interview/20011.html                                                   | ✓ | ⏱: 0.32s 
[FETCH]... ↓ https://www.refwin.com/e/news/Conference/20005.html                                                  | ✓ | ⏱: 0.29s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/Conference/20005.html                                                  | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.refwin.com/e/news/Conference/20005.html                                                  | ✓ | ⏱: 0.33s 
[FETCH]... ↓ https://www.refwin.com/e/news/PriceSheet/20003.html                                                  | ✓ | ⏱: 0.33s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/PriceSheet/20003.html                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/PriceSheet/20003.html                                                  | ✓ | ⏱: 0.35s 
[FETCH]... ↓ https://www.refwin.com/e/news/News/20007.html                                                        | ✓ | ⏱: 0.38s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/News/20007.html                                                        | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/e/news/News/20007.html                                                        | ✓ | ⏱: 0.41s 
[FETCH]... ↓ https://www.refwin.com/e/news/Statistics/20010.html                                                  | ✓ | ⏱: 0.32s 
[SCRAPE].. ◆ https://www.refwin.com/e/news/Statistics/20010.html                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/e/news/Statistics/20010.html                                                  | ✓ | ⏱: 0.34s 
[FETCH]... ↓ https://www.refwin.com/news/Emagazine                                                                | ✓ | ⏱: 0.35s 
[SCRAPE].. ◆ https://www.refwin.com/news/Emagazine                                                                | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.refwin.com/news/Emagazine                                                                | ✓ | ⏱: 0.37s 
[FETCH]... ↓ https://www.refwin.com/news/Dictionary                                                               | ✓ | ⏱: 0.32s 
[SCRAPE].. ◆ https://www.refwin.com/news/Dictionary                                                               | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.refwin.com/news/Dictionary                                                               | ✓ | ⏱: 0.33s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.refwin.com/about/faq                                                                     | ✓ | ⏱: 1.05s 
[SCRAPE].. ◆ https://www.refwin.com/about/faq                                                                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/faq                                                                     | ✓ | ⏱: 1.07s 
[FETCH]... ↓ https://www.refwin.com/about/partners                                                                | ✓ | ⏱: 1.06s 
[SCRAPE].. ◆ https://www.refwin.com/about/partners                                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/partners                                                                | ✓ | ⏱: 1.08s 
[FETCH]... ↓ https://www.refwin.com/about/aboutus                                                                 | ✓ | ⏱: 1.20s 
[SCRAPE].. ◆ https://www.refwin.com/about/aboutus                                                                 | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://www.refwin.com/about/aboutus                                                                 | ✓ | ⏱: 1.21s 
[FETCH]... ↓ https://www.refwin.com/about/member                                                                  | ✓ | ⏱: 1.08s 
[SCRAPE].. ◆ https://www.refwin.com/about/member                                                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/member                                                                  | ✓ | ⏱: 1.10s 
[FETCH]... ↓ https://www.refwin.com/about/site                                                                    | ✓ | ⏱: 0.28s 
[SCRAPE].. ◆ https://www.refwin.com/about/site                                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.refwin.com/about/site                                                                    | ✓ | ⏱: 0.29s 
Xref table not zero-indexed. ID numbers for objects will be corrected.
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/posco-future-m-co-ltd-former-posco-chemical-co-ltd-8dd31e165575.json
