[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/executive-committee                                                         | ✓ | ⏱: 1.29s 
[FETCH]... ↓ https://www.e6.com/about/news                                                                        | ✓ | ⏱: 1.33s 
[SCRAPE].. ◆ https://www.e6.com/about/news                                                                        | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.e6.com/about/news                                                                        | ✓ | ⏱: 1.35s 
[FETCH]... ↓ https://www.e6.com/about/news/70th-de-beers-diamond-conference                                       | ✓ | ⏱: 1.41s 
[SCRAPE].. ◆ https://www.e6.com/about/news/70th-de-beers-diamond-conference                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/70th-de-beers-diamond-conference                                       | ✓ | ⏱: 1.42s 
[FETCH]... ↓ https://www.e6.com/about/news/all-for-a-good-cause                                                   | ✓ | ⏱: 1.17s 
[SCRAPE].. ◆ https://www.e6.com/about/news/all-for-a-good-cause                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/all-for-a-good-cause                                                   | ✓ | ⏱: 1.19s 
[FETCH]... ↓ https://www.e6.com/about/news/bauma-general-press-release                                            | ✓ | ⏱: 1.24s 
[SCRAPE].. ◆ https://www.e6.com/about/news/bauma-general-press-release                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/bauma-general-press-release                                            | ✓ | ⏱: 1.25s 
[FETCH]... ↓ https://www.e6.com/about/news/aws_element_six_quantum_collaboration                                  | ✓ | ⏱: 1.23s 
[SCRAPE].. ◆ https://www.e6.com/about/news/aws_element_six_quantum_collaboration                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/aws_element_six_quantum_collaboration                                  | ✓ | ⏱: 1.25s 
[FETCH]... ↓ https://www.e6.com/about/news/blue-peter-s-diamond-anniversary                                       | ✓ | ⏱: 1.23s 
[SCRAPE].. ◆ https://www.e6.com/about/news/blue-peter-s-diamond-anniversary                                       | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/blue-peter-s-diamond-anniversary                                       | ✓ | ⏱: 1.24s 
[FETCH]... ↓ https://www.e6.com/about/news/diafilm-tm220-launch                                                   | ✓ | ⏱: 1.16s 
[SCRAPE].. ◆ https://www.e6.com/about/news/diafilm-tm220-launch                                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/diafilm-tm220-launch                                                   | ✓ | ⏱: 1.18s 
[FETCH]... ↓ https://www.e6.com/about/news/diamond-beyond-the-fire                                                | ✓ | ⏱: 1.18s 
[SCRAPE].. ◆ https://www.e6.com/about/news/diamond-beyond-the-fire                                                | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/diamond-beyond-the-fire                                                | ✓ | ⏱: 1.20s 
[FETCH]... ↓ https://www.e6.com/about/news/diamond-quantum-revolution                                             | ✓ | ⏱: 1.20s 
[SCRAPE].. ◆ https://www.e6.com/about/news/diamond-quantum-revolution                                             | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/diamond-quantum-revolution                                             | ✓ | ⏱: 1.22s 
[FETCH]... ↓ https://www.e6.com/about/news/dnv-b1-launch                                                          | ✓ | ⏱: 1.29s 
[SCRAPE].. ◆ https://www.e6.com/about/news/dnv-b1-launch                                                          | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/dnv-b1-launch                                                          | ✓ | ⏱: 1.31s 
[FETCH]... ↓ https://www.e6.com/about/news/dnv-b14-launch                                                         | ✓ | ⏱: 1.15s 
[SCRAPE].. ◆ https://www.e6.com/about/news/dnv-b14-launch                                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/dnv-b14-launch                                                         | ✓ | ⏱: 1.17s 
[FETCH]... ↓ https://www.e6.com/about/news/e6-supports-annual-diamond-conference                                  | ✓ | ⏱: 1.26s 
[SCRAPE].. ◆ https://www.e6.com/about/news/e6-supports-annual-diamond-conference                                  | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/e6-supports-annual-diamond-conference                                  | ✓ | ⏱: 1.28s 
[FETCH]... ↓ https://www.e6.com/about/news/e6-welcomes-local-schools                                              | ✓ | ⏱: 1.19s 
[SCRAPE].. ◆ https://www.e6.com/about/news/e6-welcomes-local-schools                                              | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/e6-welcomes-local-schools                                              | ✓ | ⏱: 1.21s 
[FETCH]... ↓ https://www.e6.com/about/news/element-six’s-diamox™-wins-global-tech-award-2025                      | ✓ | ⏱: 1.17s 
[SCRAPE].. ◆ https://www.e6.com/about/news/element-six’s-diamox™-wins-global-tech-award-2025                      | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/element-six’s-diamox™-wins-global-tech-award-2025                      | ✓ | ⏱: 1.19s 
[FETCH]... ↓ https://www.e6.com/about/news/element-six’s-dnv-b1™-announced-prism-award-winner                     | ✓ | ⏱: 1.22s 
[SCRAPE].. ◆ https://www.e6.com/about/news/element-six’s-dnv-b1™-announced-prism-award-winner                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/element-six’s-dnv-b1™-announced-prism-award-winner                     | ✓ | ⏱: 1.24s 
[FETCH]... ↓ https://www.e6.com/about/news/element-six’s-synthetic-diamond-proven-as-viable-m                     | ✓ | ⏱: 1.19s 
[SCRAPE].. ◆ https://www.e6.com/about/news/element-six’s-synthetic-diamond-proven-as-viable-m                     | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/about/news/element-six’s-synthetic-diamond-proven-as-viable-m                     | ✓ | ⏱: 1.21s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.e6.com/en/about/corporate-information/responsibilities                                   | ✓ | ⏱: 2.25s 
[SCRAPE].. ◆ https://www.e6.com/en/about/corporate-information/responsibilities                                   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/en/about/corporate-information/responsibilities                                   | ✓ | ⏱: 2.29s 
[FETCH]... ↓ https://www.e6.com/en/about/corporate-information/conflict-minerals-policy                           | ✓ | ⏱: 2.28s 
[SCRAPE].. ◆ https://www.e6.com/en/about/corporate-information/conflict-minerals-policy                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/en/about/corporate-information/conflict-minerals-policy                           | ✓ | ⏱: 2.30s 
[FETCH]... ↓ https://www.e6.com/en/about/corporate-information                                                    | ✓ | ⏱: 2.29s 
[SCRAPE].. ◆ https://www.e6.com/en/about/corporate-information                                                    | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/en/about/corporate-information                                                    | ✓ | ⏱: 2.32s 
[FETCH]... ↓ https://www.e6.com/en/about/contact-us                                                               | ✓ | ⏱: 3.07s 
[SCRAPE].. ◆ https://www.e6.com/en/about/contact-us                                                               | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.e6.com/en/about/contact-us                                                               | ✓ | ⏱: 3.09s 
[FETCH]... ↓ https://www.e6.com/en/about/news                                                                     | ✓ | ⏱: 1.34s 
[SCRAPE].. ◆ https://www.e6.com/en/about/news                                                                     | ✓ | ⏱: 0.04s 
[COMPLETE] ● https://www.e6.com/en/about/news                                                                     | ✓ | ⏱: 1.39s 
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/element-six-ltd-359787228fce.json
