[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ http://checkip.amazonaws.com/                                                                        | ✓ | ⏱: 0.01s 
[SCRAPE].. ◆ https://riflex.com/contatti/                                                                         | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com/contatti/                                                                         | ✓ | ⏱: 2.43s 
[FETCH]... ↓ https://riflex.com/privacy-policy/?lang=en                                                           | ✓ | ⏱: 1.61s 
[SCRAPE].. ◆ https://riflex.com/privacy-policy/?lang=en                                                           | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com/privacy-policy/?lang=en                                                           | ✓ | ⏱: 1.62s 
[FETCH]... ↓ https://www.importyeti.com/supplier/ri-flex-abrasives-s-r-l                                          | ✓ | ⏱: 1.51s 
[SCRAPE].. ◆ https://www.importyeti.com/supplier/ri-flex-abrasives-s-r-l                                          | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.importyeti.com/supplier/ri-flex-abrasives-s-r-l                                          | ✓ | ⏱: 2.17s 
[FETCH]... ↓ https://www.importgenius.com/suppliers/ri-flex-abrasives-s-r-l                                       | ✓ | ⏱: 3.05s 
[SCRAPE].. ◆ https://www.importgenius.com/suppliers/ri-flex-abrasives-s-r-l                                       | ✓ | ⏱: 0.02s 
[COMPLETE] ● https://www.importgenius.com/suppliers/ri-flex-abrasives-s-r-l                                       | ✓ | ⏱: 3.09s 
[FETCH]... ↓ https://www.tendata.com/en/buyer/ri-flex-abrasives-s-r-l-ITAIe4ae63d7d4aefb269f7dc50c1927639a.html   | ✓ | ⏱: 3.35s 
[SCRAPE].. ◆ https://www.tendata.com/en/buyer/ri-flex-abrasives-s-r-l-ITAIe4ae63d7d4aefb269f7dc50c1927639a.html   | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://www.tendata.com/en/buyer/ri-flex-abrasives-s-r-l-ITAIe4ae63d7d4aefb269f7dc50c1927639a.html   | ✓ | ⏱: 3.38s 
[FETCH]... ↓ https://www.fatturatoitalia.it/ri-flex-abrasives-srl-03383460361                                     | ✓ | ⏱: 4.84s 
[SCRAPE].. ◆ https://www.fatturatoitalia.it/ri-flex-abrasives-srl-03383460361                                     | ✓ | ⏱: 0.03s 
[COMPLETE] ● https://www.fatturatoitalia.it/ri-flex-abrasives-srl-03383460361                                     | ✓ | ⏱: 6.15s 
[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://riflex.com/about-us/?lang=en                                                                 | ✓ | ⏱: 3.58s 
[SCRAPE].. ◆ https://riflex.com/about-us/?lang=en                                                                 | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://riflex.com/about-us/?lang=en                                                                 | ✓ | ⏱: 3.60s 
Xref table not zero-indexed. ID numbers for objects will be corrected.
/Users/acelerzbw/Documents/Codex/2026-08-13/crm-twenty-postgresql/key-person-discovery/outputs/batch-20260815/ri-flex-abrasives-s-r-l-f3282730745d.json
